DateandTime(UTC),Receiver,Transmitter,StationName,Latitude,Longitude
2021-07-27 19:59,VR2W180-302983,A180-1702-53695,302983,48.974473,-125.289017
2021-07-27 20:34,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 20:38,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 20:40,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 20:45,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 20:49,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 20:53,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 20:56,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:01,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:03,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:06,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:08,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:09,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:11,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:13,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:15,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:17,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:18,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:20,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:21,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:23,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:24,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:25,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:27,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:28,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:30,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:32,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:32,VR2W180-302983,A180-1702-53713,302983,48.974473,-125.289017
2021-07-27 21:35,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:37,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:40,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:42,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
2021-07-27 21:45,VR2W180-302983,A180-1702-53708,302983,48.974473,-125.289017
